ImageID,XMin,YMin,XMax,YMax,Labels
00004b19ca2c952f,0.58625,0.521576,0.666875,0.727017,/m/0r3vbqy
00004b19ca2c952f,0.198125,0.0,0.4075,0.999062,/m/0r3vbqy
00004b19ca2c952f,0.4175,0.291745,0.5225,0.716698,/m/0r3vbqy
00004b19ca2c952f,0.52,0.298311,0.61375,0.703565,/m/0r3vbqy
00004b19ca2c952f,0.5675,0.258912,0.999375,0.737336,/m/0r3vbqy
00004b19ca2c952f,0.238125,0.0,0.335625,0.118199,/m/0r3vbqy
00004b19ca2c952f,0.720625,0.494371,0.77625,0.718574,/m/0r3vbqy
00004b19ca2c952f,0.779375,0.454972,0.825625,0.712946,/m/0r3vbqy
00004b19ca2c952f,0.871875,0.453096,0.95375,0.712946,/m/0r3vbqy
00004b19ca2c952f,0.95,0.456848,0.999375,0.705441,/m/0r3vbqy
00004b19ca2c952f,0.27125,0.941839,0.3075,0.999062,/m/0r3vbqy
00004b19ca2c952f,0.293125,0.824578,0.35125,0.994371,/m/0r3vbqy
00004b19ca2c952f,0.4125,0.682927,0.45,0.727017,/m/0r3vbqy
00004b19ca2c952f,0.45625,0.626642,0.479375,0.655722,/m/0r3vbqy
00004b19ca2c952f,0.471875,0.686679,0.495,0.713884,/m/0r3vbqy
00004b19ca2c952f,0.494375,0.615385,0.5175,0.650094,/m/0r3vbqy
00004b19ca2c952f,0.515,0.688555,0.534375,0.723265,/m/0r3vbqy
00004b19ca2c952f,0.57375,0.679174,0.598125,0.732645,/m/0r3vbqy
00004b19ca2c952f,0.634375,0.677298,0.66625,0.738274,/m/0r3vbqy
00004b19ca2c952f,0.6725,0.686679,0.699375,0.725141,/m/0r3vbqy
00004b19ca2c952f,0.693125,0.690432,0.7225,0.727017,/m/0r3vbqy
00004b19ca2c952f,0.739375,0.717636,0.785625,0.745779,/m/0r3vbqy
00004b19ca2c952f,0.77,0.709193,0.794375,0.738274,/m/0r3vbqy
00004b19ca2c952f,0.796875,0.705441,0.81375,0.728893,/m/0r3vbqy
00004b19ca2c952f,0.82875,0.677298,0.86,0.727017,/m/0r3vbqy
00004b19ca2c952f,0.854375,0.679174,0.890625,0.725141,/m/0r3vbqy
00004b19ca2c952f,0.885625,0.697936,0.906875,0.725141,/m/0r3vbqy
00004b19ca2c952f,0.9125,0.717636,0.949375,0.727017,/m/0r3vbqy
00004b19ca2c952f,0.965,0.69606,0.999375,0.723265,/m/0r3vbqy
00004b19ca2c952f,0.98625,0.703565,0.999375,0.723265,/m/0r3vbqy
000072a05feb492a,0.241582,0.05875,0.863636,0.6725,/m/025rxrz
000072a05feb492a,0.0,0.0,0.999158,0.999375,/m/025rxrz
00008044f1bbfde7,0.170625,0.334728,0.225,0.846025,/m/0r3vbqy
00008044f1bbfde7,0.22375,0.241004,0.375,0.816736,/m/0r3vbqy
00008044f1bbfde7,0.296875,0.224268,0.4075,0.767364,/m/0r3vbqy
00008044f1bbfde7,0.40625,0.295397,0.50125,0.732218,/m/0r3vbqy
00008044f1bbfde7,0.495,0.315481,0.58,0.671967,/m/0r3vbqy
00008044f1bbfde7,0.55,0.317155,0.659375,0.615063,/m/0r3vbqy
00008044f1bbfde7,0.645625,0.250209,0.734375,0.630962,/m/0r3vbqy
00008044f1bbfde7,0.735625,0.23682,0.845,0.613389,/m/0r3vbqy
00008044f1bbfde7,0.81375,0.2159,0.874375,0.6,/m/0r3vbqy
00008044f1bbfde7,0.674375,0.461925,0.724375,0.610042,/m/0r3vbqy
0000de486dc6c49f,0.019608,0.02451,0.998366,0.977124,/m/025rxrz
0000f8aef032941e,0.0,0.322702,0.05625,0.639775,/m/025rxrz
0000f8aef032941e,0.035625,0.330206,0.085625,0.590056,/m/025rxrz
0000f8aef032941e,0.278125,0.212946,0.341875,0.623827,/m/025rxrz
0000f8aef032941e,0.290625,0.268293,0.345625,0.775797,/m/025rxrz
0000f8aef032941e,0.31625,0.268293,0.47,0.91651,/m/025rxrz
0000f8aef032941e,0.3775,0.306754,0.4175,0.630394,/m/025rxrz
0000f8aef032941e,0.45875,0.139775,0.58625,0.891182,/m/025rxrz
0000f8aef032941e,0.58125,0.258912,0.68125,0.599437,/m/025rxrz
0000f8aef032941e,0.701875,0.422139,0.999375,0.999062,/m/025rxrz
0000f8aef032941e,0.763125,0.149156,0.849375,0.438086,/m/025rxrz
0000f8aef032941e,0.83375,0.251407,0.9775,0.643527,/m/025rxrz
0000f8aef032941e,0.9325,0.110694,0.999375,0.591932,/m/025rxrz
0000f8aef032941e,0.0,0.493433,0.09625,0.803002,/m/025rxrz
0000f8aef032941e,0.050625,0.601313,0.344375,0.999062,/m/025rxrz
0000f8aef032941e,0.06,0.464353,0.123125,0.641651,/m/025rxrz
0000f8aef032941e,0.1075,0.462477,0.231875,0.710131,/m/025rxrz
0000f8aef032941e,0.450625,0.406191,0.47125,0.446529,/m/025rxrz
0000f8aef032941e,0.544375,0.696998,0.7225,0.999062,/m/025rxrz
0000f8aef032941e,0.57,0.43152,0.608125,0.571295,/m/025rxrz
0000f8aef032941e,0.634375,0.530019,0.77375,0.894934,/m/025rxrz
0000f8aef032941e,0.650625,0.427767,0.745625,0.545028,/m/025rxrz
0000f8aef032941e,0.8,0.536585,0.898125,0.602251,/m/025rxrz
00011126933076bc,0.372688,0.22625,0.56899,0.518125,/m/025rxrz
00011126933076bc,0.372688,0.39,0.960171,0.999375,/m/025rxrz
00011126933076bc,0.604552,0.245,0.814367,0.405625,/m/025rxrz
00014ef25d241667,0.0,0.502814,0.189375,0.999062,/m/0r3vbqy
00014ef25d241667,0.1025,0.621951,0.384375,0.999062,/m/0r3vbqy
00014ef25d241667,0.234375,0.341463,0.535625,0.999062,/m/0r3vbqy
00014ef25d241667,0.758125,0.030019,0.953125,0.82833,/m/0r3vbqy
00014ef25d241667,0.0,0.0,0.999375,0.999062,/m/0r3vbqy
00014ef25d241667,0.0,0.491557,0.184375,0.999062,/m/0r3vbqy
00014ef25d241667,0.10625,0.623827,0.36875,0.999062,/m/0r3vbqy
00014ef25d241667,0.179375,0.097561,0.4125,0.745779,/m/0r3vbqy
00014ef25d241667,0.241875,0.337711,0.540625,0.999062,/m/0r3vbqy
00014ef25d241667,0.375,0.064728,0.730625,0.999062,/m/0r3vbqy
00014ef25d241667,0.501875,0.168856,0.6175,0.920263,/m/0r3vbqy
00014ef25d241667,0.77375,0.022514,0.949375,0.824578,/m/0r3vbqy
